,Date,Open,High,Low,Close,Volume,sqrt_Volume,Close_t-1,Close_t-2,Volume_t-1,SMA_5,STD_5,EMV_5,rsi,rsi_result,macd,macd_signal,macd_diff,macd_result,bb_upper,bb_lower,bb_width,bb_result,adx,adx_pos,adx_neg,adx_result,Daily_Return,Close_Diff_t-1,future_return_5,Year,Quarter,Day,Month,Weekday,target,target_encoded
3782,2017-02-14,26.053448704848662,26.053448704848662,25.52444267272949,25.52444267272949,133047000,11534.600123107866,26.18569564819336,26.053449630737305,11508.040667289979,26.370850372314454,0.6652119151967777,26.211134873439335,42.838500589532806,neutral,0.3043856418936919,0.5407827039845226,-0.23639706209083067,hold,28.166100149205395,24.98557965273552,3.1805204964698746,Buy_signal,35.03048492024904,24.419057322095693,24.9610869882882,strong_downtrend,-0.025252450205938803,0.1322460174560547,hold,2017,1,14,2,1,hold,1
3783,2017-02-15,25.590568439882503,26.25182342529297,25.524441427848902,26.25182342529297,106851000,10336.875736894586,25.52444267272949,26.18569564819336,11534.600123107866,26.19892349243164,0.5215125415380043,26.22469772405721,50.891333752331036,neutral,0.26235798842558467,0.485097760872735,-0.22273977244715032,hold,28.142330493656328,25.07547460583098,3.066855887825348,Buy_signal,32.8144445925539,24.66961220778126,22.769249212626544,strong_uptrend,0.02849741958677976,-0.6612529754638707,hold,2017,1,15,2,2,buy,0
3784,2017-02-16,26.25182563858804,26.31795013370901,25.855071100398774,26.053449630737305,56206000,7497.066092812574,26.25182342529297,25.52444267272949,10336.875736894586,26.013772201538085,0.28671328935846646,26.167615026283908,48.86930006231523,neutral,0.21061581490709713,0.4302013716796074,-0.2195855567725103,hold,28.1031712277022,25.17414715456098,2.929024073141221,Buy_signal,30.878739611503363,24.080217636508035,21.476826260019045,strong_uptrend,-0.007556572027089592,0.7273807525634801,hold,2017,1,16,2,3,buy,0
3785,2017-02-17,26.119571160579305,26.38407415601056,26.119571160579305,26.18569564819336,58265000,7633.151380655306,26.053449630737305,26.25182342529297,7497.066092812574,26.040221405029296,0.2971967414333375,26.173641900253727,50.2873592970984,neutral,0.17822643459813747,0.3798063842633134,-0.20157994966517595,hold,28.054121411241074,25.295934855543596,2.7581865556974776,Buy_signal,29.207961639480764,23.909507277341156,20.578325945689315,strong_uptrend,0.005075950376261629,-0.19837379455566406,hold,2017,1,17,2,4,buy,0
3786,2017-02-20,26.25182342529297,26.31794791483898,26.11957192371336,26.25182342529297,21270000,4611.941023040082,26.18569564819336,26.053449630737305,7633.151380655306,26.053446960449218,0.3066111933088298,26.199702408600142,51.01888121062585,neutral,0.15609421931447187,0.3350639512735451,-0.17896973195907323,hold,28.002775700325266,25.42001864171575,2.5827570586095163,Buy_signal,27.656524951174067,23.280184748457224,20.036683494671014,strong_uptrend,0.0025253397117281917,0.1322460174560547,hold,2017,1,20,2,0,buy,0
3787,2017-02-21,26.31794791483898,26.5824509179982,26.18569641325937,26.25182342529297,55256000,7433.437966378679,26.25182342529297,26.18569564819336,4611.941023040082,26.198923110961914,0.08621604982125584,26.217076080831088,51.01888121062585,neutral,0.13697531310288724,0.29544622363941353,-0.1584709105365263,hold,27.96733742368472,25.508356851217624,2.458980572467098,Buy_signal,26.746194153866472,25.60788042467334,18.961710381520717,strong_uptrend,0.0,0.06612777709960938,hold,2017,1,21,2,1,buy,0
3788,2017-02-22,26.3840729828417,26.58244895935059,26.251821491006645,26.582448959350582,56561000,7520.704754210206,26.25182342529297,26.25182342529297,7433.437966378679,26.265048217773437,0.19504090170965727,26.338867040337586,54.86967940477156,neutral,0.14680982732800274,0.2657189443771314,-0.11890911704912865,hold,27.944080686987945,25.49193787532895,2.4521428116589945,Buy_signal,25.90088698493799,24.431562395166424,18.090689374620815,strong_uptrend,0.01259438358628695,0.0,hold,2017,1,22,2,2,buy,0
3789,2017-02-23,26.45020655435929,26.45020655435929,26.185703479820397,26.317955017089844,38878000,6235.222530110694,26.582448959350582,26.25182342529297,7520.704754210206,26.317949295043945,0.15507769089651205,26.331896365921676,51.3890583663872,neutral,0.1317426527390957,0.23892368604952427,-0.10718103331042858,hold,27.90226345111032,25.454404830444854,2.447858620665464,Buy_signal,24.92934272339946,23.062523802489263,18.010805262203526,beginning_uptrend,-0.00994994639753466,0.33062553405761363,hold,2017,1,23,2,3,buy,0
3790,2017-02-24,26.25182935538657,26.45020539132387,26.185702328415367,26.38408088684082,30676000,5538.591878808187,26.317955017089844,26.582448959350582,6235.222530110694,26.357626342773436,0.13711982041342446,26.34929120622806,52.20534743025961,neutral,0.12371154370810444,0.21588125758124033,-0.09216971387313588,hold,27.729840494475138,25.487964223542438,2.2418762709327,Buy_signal,24.02719106032207,22.17056536172868,17.314242230387737,beginning_uptrend,0.0025125762890025882,-0.26449394226073863,hold,2017,1,24,2,4,buy,0
3791,2017-02-27,26.251826924327904,26.45020294189453,26.251826924327904,26.45020294189453,24447000,4944.390761256638,26.38408088684082,26.317955017089844,5538.591878808187,26.39730224609375,0.12719341908769222,26.382928451450216,53.05426537255114,neutral,0.12128423995639181,0.19696185405627065,-0.07567761409987883,hold,27.56651910005583,25.53226038755403,2.034258712501803,Buy_signal,23.18947880175021,21.498983647529585,16.78976627375676,beginning_uptrend,0.0025061344883416936,0.06612586975097656,sell,2017,1,27,2,0,hold,1
3792,2017-02-28,26.45019941641859,26.45019941641859,26.25182342529297,26.25182342529297,30061000,5482.79125993321,26.45020294189453,26.38408088684082,4944.390761256638,26.39730224609375,0.12719341908769222,26.339226776064464,50.17482908348563,neutral,0.1021752030436005,0.1780045238537366,-0.0758293208101361,hold,27.371526153986974,25.58839015155502,1.7831360024319522,Buy_signal,22.41159107875537,20.819794289680736,16.25940480175302,beginning_uptrend,-0.007500113214154114,0.06612205505371094,hold,2017,1,28,2,1,buy,0
3793,2017-03-01,26.31795385986962,26.38408088684082,26.05345331944927,26.38408088684082,47124000,6864.692272782517,26.25182342529297,26.45020294189453,5482.79125993321,26.357628631591798,0.07539592812167224,26.35417814632325,52.04354083507795,neutral,0.09658979837165305,0.1617215787573199,-0.06513178038566686,hold,27.3492132546613,25.57764049747493,1.7715727571863695,Buy_signal,21.015155667122883,19.70261291758792,18.606402243194516,beginning_uptrend,0.005038029526757581,-0.1983795166015625,hold,2017,1,1,3,2,buy,0
3794,2017-03-02,26.38408088684082,26.58245692277812,26.25182935538657,26.38408088684082,40710000,6380.438856379708,26.38408088684082,26.25182342529297,6864.692272782517,26.37085380554199,0.0724385669021641,26.364145726495774,52.04354083507795,neutral,0.09111303062728737,0.1475998691313134,-0.05648683850402603,hold,27.325619248378274,25.568171950352195,1.7574472980260794,Buy_signal,20.294324568395798,21.904063061802628,17.589928844575407,beginning_uptrend,0.0,0.13225746154785156,hold,2017,1,2,3,3,buy,0
